LTGNR,KD_LTGNR,SLNR,LAENG,ART,QUERS,FARBE,KSID,ABGRIF1,KA1,ANSCH1,ABGRIF2,KA2,ANSCH2,PLATZ,BGID,TARGET_BG,BG_LIDENT,BG_CIDENT,Kaufteil,SEAL1,SEAL2,TOP1,TOP2,MW_IDENT,LIDENT,SL_LIDENT,CIDENT,KD_ABGRIF1,KD_ABGRIF2,V_IDENT,V_IDENT_VERS,SIGNAL,LTG_KENNUNG
161027,161027,,700,YR,"0,35",gn ws,P1219239,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1219243,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1222602,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1222623,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1222647,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1222649,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161027,161027,,700,YR,"0,35",gn ws,P1223169,PSFH_C,6,24340,QEPB_C,10,24148,15h,band,pfsb,,,,68848,,,,950154,L0480583,,C1563156,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HL,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219223,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219224,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219228,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219229,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219233,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219234,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219237,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219238,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219239,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219240,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219243,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1219244,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222589,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222590,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222595,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222596,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222597,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222598,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222602,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222603,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222606,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222607,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222608,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222609,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222611,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222612,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222613,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222614,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222615,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222616,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222617,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222618,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222619,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222620,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222621,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222622,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222623,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222624,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222632,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222633,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222638,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222639,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222640,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222641,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222643,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222644,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222645,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222646,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222647,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222648,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222649,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1222650,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223165,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223169,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223170,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223171,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223172,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223174,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223175,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223177,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223178,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223179,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223180,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223181,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223262,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223164,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161028,161028,,700,YR,"0,35",gn bl,P1223176,PSFH_C,5,24340,QEPB_C,20,24148,15h,band,pfsb,,,,68848,,,,950151,L0480587,,C1563155,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLM,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219224,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219229,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219234,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219238,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219240,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1219244,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222598,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222603,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222607,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222609,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222612,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222614,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222616,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222618,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222622,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222624,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222633,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222639,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222641,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222644,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222648,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222650,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223165,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223172,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223175,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223177,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223179,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223181,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223262,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222590,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222596,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222620,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1222646,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161029,161029,,700,YR,"0,35",bl,P1223170,PSFH_C,9,24340,QEPB_C,19,24148,15h,band,pfsb,,,,68848,,,,950006,L0585166,,C2099392,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HLS,SIGNAL
161030,161030,,700,YR,"0,35",gn rt,P1219223,PSFH_C,3,24340,QEPB_C,21,24148,15h,band,pfsb,,,,68848,,,,950170,L0480586,,C1563159,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HR,SIGNAL
161030,161030,,700,YR,"0,35",gn rt,P1219224,PSFH_C,3,24340,QEPB_C,21,24148,15h,band,pfsb,,,,68848,,,,950170,L0480586,,C1563159,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HR,SIGNAL
161030,161030,,700,YR,"0,35",gn rt,P1219228,PSFH_C,3,24340,QEPB_C,21,24148,15h,band,pfsb,,,,68848,,,,950170,L0480586,,C1563159,PSFH_C,QEPB_C,,,S.SIGNAL..PDC_HR,SIGNAL
